token,count
seed,1447
cube,931
wedge,914
sprig,912
flake,786
scallion,785
chive,545
strip,516
stalk,451
rib,421
stem,389
jalapeño,364
walnut,361
peppercorn,356
breast,305
thigh,289
confectioner,288
pecan,276
plum,272
leek,268
supermarket,254
cranberry,249
radish,241
raisin,235
pistachio,231
caper,229
pale,225
crème_fraîche,219
strawberry,218
mushroom,213
chip,210
store,208
frying,201
pint,200
ear,195
sheet,195
raspberry,192
pea,191
jar,189
hazelnut,189
boiling,185
crumb,185
brushing,183
fillet,183
worcestershire,179
chunk,177
herb,175
quart,173
beet,172
sausage,171
cornmeal,171
diagonal,170
russet,169
minute,167
pine_nut,164
superfine,163
chickpea,162
pineapple,161
specialty_food_store,161
anchovy_fillet,160
good,160
brandy,159
scant,158
peach,157
crust,157
blueberry,152
cacao,152
banana,150
parchment,150
goat,150
tart,149
turkish,149
tortilla,148
baguette,148
old,147
california,146
apricot,145
heart,144
bite,143
organic,142
breadcrumb,142
butternut,139
molasse,139
regular,138
pasta,138
kernel,137
grape,137
fresno,137
frond,136
sharp,135
dice,135
shoulder,135
prosciutto,135
free,134
leg,133
pod,132
chipotle,131
high,131
bourbon,130
miso,129
granny_smith,129
ring,129
asparagus,129
noodle,127
dish,126
eggplant,125
maldon,125
grapeseed,123
persian,122
chinese,122
watercress,121
japanese,121
ham,118
matchstick,118
berry,117
oyster,117
mill,116
soft,116
pancetta,116
market,116
simple,115
mango,114
spaghetti,114
grill,113
champagne,112
handful,112
root,112
blackberry,112
cauliflower,112
floret,112
spanish,111
shell,110
note,109
ketchup,108
mortar,108
liqueur,108
horseradish,107
active,106
gin,104
cashew,104
generous,104
marjoram,104
espresso,103
loaf,102
rind,102
seasoning,101
english_hothouse,101
casing,100
ancho,100
parsnip,99
club,99
brine,99
tartar,99
candy,99
heirloom,98
kalamata,98
swiss_chard,97
bottle,97
saffron_thread,96
gruyère,96
vodka,96
read,96
japanese_breadcrumb,95
vermouth,95
homemade,94
container,94
fry,93
puff,93
rack,91
surface,91
currant,90
meat,90
aleppo,89
árbol,89
grapefruit,89
radicchio,89
tenderloin,89
drumstick,88
root_end,88
square,88
adobo,86
shortening,86
coffee,86
tip,86
french,85
mirin,85
sriracha,83
monterey_jack,83
dash,83
bowl,82
romaine,82
neck,82
unflavored_gelatin,82
pepita,81
center,81
tofu,81
mascarpone,81
sandwich,81
skinned,79
pecorino_romano,79
star_anise,79
turnip,79
diamond_crystal,78
nonfat,78
snap_pea,78
quinoa,77
tahini,77
lentil,77
chop,77
pear,77
dutch,77
scallop,77
chuck,77
pomegranate,75
blue,75
removable,74
hour,74
beer,74
navel,74
broccoli,73
envelope,73
recipe,72
quick,72
tuscan,72
pecorino,72
caraway_seed,72
nut,71
mix,71
cheesecloth,71
sprinkling,71
fontina,71
cannellini,71
apple,70
oats,70
wild,70
polenta,70
pomegranate_seed,70
short_rib,70
sun,70
adjustable,70
poblano,69
peeler,69
nam_pla,69
anchovy,68
neutral,68
crimini,68
wing,68
mexican,68
length,68
brussels_sprout,68
basmati,67
uncooked,66
core,66
self,66
kitchen_string,66
pizza,66
fruit,65
fashioned_oats,65
lean,65
tabasco,65
wheel,64
glass,63
twist,63
mandoline,63
shiitake_mushroom,63
salsa,63
arborio,63
cookie_cutter,63
rye,63
cap,63
linguine,63
center_rib,63
agave_nectar,62
short,62
blood,62
flaked,61
korean,61
pickle,61
escarole,61
cognac,61
mussel,61
tea,61
cook,61
fig,61
pearl,61
guajillo,60
grinder,60
kidney,60
palm,60
excess,60
lemongrass_stalk,60
food_processor,60
delicious,60
spicy,60
ramekin,60
tomatillo,60
sunflower,59
spring,59
frisée,59
necessary,59
skirt_steak,59
lard,58
morton,58
date,58
panko,58
crusty,58
pita,58
weight,58
sel,58
food_store,58
purée,57
tamari,57
sprout,57
food_coloring,57
napa,57
liquid,57
shaving,57
springform,56
prune,56
porcini_mushroom,56
choice,55
bitter,55
creamy,55
rounded,55
jalapeños,54
process,54
fleur,54
nuoc_nam,54
condensed,53
bok_choy,53
boston_butt,53
julienned,53
sourdough,53
cooky,53
box,53
maker,53
new,52
queso_fresco,52
skim,52
intact,52
mini,52
quarter,52
crystallized,52
vidalia,52
hoisin,52
giblet,51
jasmine,51
yam,51
assorted,51
seedless,51
solid,51
grand_marnier,50
bibb,50
meyer,50
wooden_skewer,50
habanero,49
english,49
button_mushroom,49
slab,49
medjool_date,49
ball,49
tail,49
electric_coffee,49
iceberg,49
wild_mushroom,49
cremini_mushroom,49
garam_masala,48
harissa,48
grade,48
meal,48
latin_market,48
cod,47
brisket,47
muffin,47
penne,47
haricot_vert,47
lindt,47
stone,46
hulled,46
clean,46
pot,46
poppy_seed,46
flank_steak,46
metal_skewer,46
tough_stem,46
color,45
knife,45
jam,45
chia_seed,45
purple,45
angostura_bitter,45
hungarian,45
steamed,45
star_anise_pod,45
roasting,45
lid,45
table,44
plate,44
bit,44
ghee,43
