epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,353.956,1.43465,2.44361,1.68124,0.57315,0.23301,0.23426,0.12632,1.7838,3.46693,1.97197,0.0670866,0.000332458,0.000332458
2,923.999,1.52281,2.30216,1.73255,0.40248,0.33689,0.23332,0.1249,1.68265,2.91382,1.95559,0.0340784,0.000657553,0.000657553
3,1309.07,1.47797,2.1179,1.68677,0.44042,0.39817,0.37689,0.21072,1.60627,2.56429,1.84646,0.00106189,0.000974397,0.000974397
4,1630.06,1.4193,1.93582,1.62963,0.42905,0.43285,0.40642,0.25257,1.46995,2.17769,1.71688,0.000962875,0.000962875,0.000962875
5,1949.94,1.36769,1.76121,1.58449,0.51745,0.52205,0.51709,0.32761,1.34815,2.06845,1.60561,0.0009505,0.0009505,0.0009505
6,2410.64,1.33294,1.62181,1.55408,0.55308,0.46994,0.51679,0.33553,1.38691,1.90049,1.60282,0.000938125,0.000938125,0.000938125
7,2853.82,1.30105,1.50449,1.52829,0.44754,0.43397,0.39306,0.22937,1.53102,2.39683,1.8223,0.00092575,0.00092575,0.00092575
8,3291.57,1.25814,1.40457,1.48825,0.65011,0.572,0.62449,0.38344,1.42174,1.56691,1.61196,0.000913375,0.000913375,0.000913375
9,3706.41,1.25414,1.34607,1.48231,0.58484,0.57502,0.59599,0.37241,1.36514,1.49541,1.60018,0.000901,0.000901,0.000901
10,4150.67,1.22763,1.26018,1.46228,0.50355,0.60997,0.61069,0.38925,1.36758,1.54798,1.59405,0.000888625,0.000888625,0.000888625
11,4462.32,1.21052,1.21812,1.44062,0.58909,0.63794,0.65971,0.39498,1.38443,1.46332,1.60832,0.00087625,0.00087625,0.00087625
12,4921.7,1.19504,1.15911,1.4185,0.63385,0.594,0.65382,0.42095,1.29271,1.40712,1.54748,0.000863875,0.000863875,0.000863875
13,5242.31,1.17324,1.12874,1.4099,0.59021,0.66002,0.65913,0.4435,1.20544,1.35464,1.50097,0.0008515,0.0008515,0.0008515
14,5707.29,1.12585,1.07846,1.37231,0.64001,0.64788,0.69221,0.45135,1.26427,1.31465,1.51747,0.000839125,0.000839125,0.000839125
15,6101.42,1.10846,1.03713,1.36545,0.57231,0.67242,0.63852,0.43283,1.18687,1.34792,1.49064,0.00082675,0.00082675,0.00082675
16,6386.79,1.06843,1.00472,1.33794,0.67244,0.60711,0.66265,0.45682,1.19352,1.40007,1.49544,0.000814375,0.000814375,0.000814375
17,6737.82,1.05009,0.95506,1.32333,0.64249,0.66178,0.69393,0.48717,1.15525,1.31783,1.4733,0.000802,0.000802,0.000802
18,7133.82,1.03531,0.91794,1.307,0.67096,0.66154,0.71885,0.50427,1.16063,1.25188,1.45302,0.000789625,0.000789625,0.000789625
19,7517.3,1.0129,0.89754,1.28907,0.68405,0.68427,0.71072,0.49782,1.12735,1.1825,1.44178,0.00077725,0.00077725,0.00077725
