token,count
cup,28244
teaspoon,15983
tablespoons,15582
chopped,12163
salt,10984
or,10789
fresh,10369
cups,10093
oil,9145
and,7490
tablespoon,7475
large,7216
ground,6989
sugar,6988
pepper,6557
teaspoons,6064
finely,5834
into,5823
olive,5538
kosher,5475
cut,5421
sliced,5384
butter,5184
plus,5045
garlic,4561
juice,4432
divided,4298
black,4293
unsalted,4149
inch,4105
lemon,4058
freshly,3981
grated,3952
peeled,3784
red,3772
for,3563
ounces,3446
flour,3380
thinly,3348
leaves,3345
of,3275
cloves,3126
white,3065
pound,3016
cream,3015
to,3002
whole,2928
a,2727
extra,2688
water,2680
all,2630
vinegar,2622
small,2614
medium,2550
vegetable,2548
purpose,2525
onion,2513
virgin,2512
pieces,2503
dried,2386
tbsp,2330
coarsely,2292
tsp,2266
powder,2242
more,2205
seeds,2172
halved,2149
chicken,2136
milk,2131
vanilla,2084
sauce,2077
egg,2049
eggs,2037
minced,2007
pounds,1992
wine,1953
cheese,1908
ounce,1857
baking,1806
with,1719
lime,1686
parsley,1630
green,1620
in,1616
dry,1593
extract,1560
slices,1523
brown,1522
temperature,1517
room,1516
trimmed,1478
sea,1430
tomatoes,1428
heavy,1405
orange,1404
ginger,1387
crushed,1338
thick,1311
lengthwise,1304
cilantro,1256
zest,1249
rice,1247
removed,1230
toasted,1196
thyme,1190
sprigs,1148
diced,1139
cinnamon,1136
cubes,1132
at,1116
drained,1113
broth,1107
chocolate,1091
onions,1036
lb,1031
mustard,1010
as,995
leaf,992
honey,982
clove,970
can,962
wedges,959
light,950
bread,938
oz,931
chilled,925
coarse,923
frozen,920
syrup,887
pinch,882
coconut,875
hot,857
low,843
crosswise,839
celery,838
packed,832
flakes,827
mint,826
stems,820
basil,817
serving,811
potatoes,809
garnish,803
pan,797
such,795
cumin,793
unsweetened,793
beans,792
corn,790
chiles,778
quartered,778
melted,774
flat,772
granulated,772
taste,772
ice,771
seeded,763
dark,752
soda,743
pitted,741
parmesan,738
soy,737
sweet,735
sesame,732
rinsed,724
torn,718
the,711
half,697
chile,691
fine,691
pure,685
scallions,681
bay,680
on,673
peel,668
if,650
sodium,647
baby,643
boneless,639
yellow,639
bunch,639
paste,638
g,636
carrots,624
mushrooms,620
other,619
apple,616
yogurt,615
fennel,606
italian,605
strips,601
rosemary,596
bell,595
plain,592
paprika,589
thin,589
tomato,587
very,584
pork,583
oregano,582
stick,578
chives,573
cooked,572
beef,564
fat,562
cored,561
crumbled,561
sour,558
from,556
ripe,555
shredded,551
almonds,546
lightly,544
head,543
beaten,542
shallot,541
smoked,540
piece,532
softened,531
whipping,531
shallots,529
spray,526
cider,524
roasted,517
yolks,516
cayenne,515
golden,509
dijon,504
thawed,478
nutmeg,476
bittersweet,475
stock,472
mayonnaise,466
skin,465
additional,460
preferably,459
bacon,454
coriander,454
powdered,453
raw,453
sherry,439
fillets,437
cornstarch,434
jalape,433
skinless,432
ribs,431
package,428
cold,423
dill,420
peppercorns,415
about,409
stalks,403
turkey,402
buttermilk,396
nonstick,395
separated,391
an,391
shrimp,387
mixed,387
peppers,385
canned,384
cocoa,384
style,377
grain,374
maple,374
peas,374
cherry,374
fish,372
o,362
olives,356
tender,355
bean,354
sage,351
bone,351
canola,348
greens,348
sticks,347
asian,342
balsamic,341
chili,340
whites,339
equipment,338
flaky,338
each,334
firm,333
chips,325
long,324
greek,324
spinach,324
scrubbed,323
wheat,323
split,323
reduced,322
spice,321
thermometer,319
pastry,318
almond,318
well,314
quality,313
unpeeled,313
stemmed,310
size,309
confectioners,307
squash,304
rounds,301
de,299
cr,299
me,297
available,297
lettuce,296
arugula,293
cooking,290
walnuts,289
cake,288
peanut,288
x,288
carrot,283
accompaniment,283
drizzling,282
cucumber,280
apples,278
tarragon,278
shelled,276
mild,276
cans,275
supermarkets,275
gold,272
allspice,271
roughly,270
cardamom,270
cabbage,270
discarded,267
avocado,266
markets,265
instant,264
cooled,264
smashed,264
semisweet,263
pumpkin,262
paper,262
some,261
foods,261
lamb,259
one,258
nuts,257
cheddar,256
turmeric,254
parts,254
dusting,254
capers,253
wide,253
che,252
ricotta,252
zucchini,251
strawberries,251
reserved,251
rum,249
round,248
deveined,246
potato,246
thighs,245
kale,245
noodles,244
parmigiano,243
salmon,242
stores,242
serrano,241
warm,240
yeast,240
feta,240
natural,240
mozzarella,240
reggiano,239
raisins,238
deep,238
radishes,237
fra,237
bulb,237
dough,237
cherries,235
ingredient,234
pistachios,234
patted,232
pie,232
sweetened,231
salted,230
halves,230
country,229
info,229
ml,228
yolk,228
chunks,227
squeezed,227
curry,226
crumbs,224
pecans,223
thai,222
yukon,221
bag,220
unseasoned,220
